epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.273,1.10637,3.87946,1.09845,0.01979,0.58299,0.0931,0.05753,1.04578,3.596,1.05787,0.0012,0.0012,0.0892
2,7.58085,1.0049,3.72222,1.07622,0.02247,0.60759,0.14408,0.10668,0.92691,3.53764,0.98002,0.00248762,0.00248762,0.0774876
3,10.7462,0.94614,3.40829,1.03259,0.01769,0.76234,0.17422,0.13108,0.9271,3.3903,0.96779,0.00376238,0.00376238,0.0657624
4,13.9112,0.94092,3.13432,1.00761,0.69698,0.16637,0.27172,0.21344,0.96898,3.18069,0.98695,0.00502426,0.00502426,0.0540243
5,17.0438,1.00899,2.93605,1.06184,0.86068,0.09148,0.32283,0.25378,0.95005,2.91563,0.98979,0.00627328,0.00627328,0.0422733
6,20.1843,1.02333,2.55425,1.06051,0.69506,0.24524,0.35685,0.27193,0.98867,2.60558,1.02114,0.00750942,0.00750942,0.0305094
7,23.3903,1.15852,2.62171,1.13206,0.5809,0.29468,0.29649,0.21045,1.07636,2.35326,1.06407,0.0087327,0.0087327,0.0187327
8,26.5128,1.11313,2.39393,1.05221,0.62285,0.33526,0.35097,0.24349,1.13084,2.1682,1.07122,0.0096535,0.0096535,0.0096535
9,29.6574,1.09593,2.23293,1.07986,0.53204,0.38564,0.38874,0.27931,1.04704,1.94976,1.06369,0.009604,0.009604,0.009604
10,32.7507,1.07901,2.16427,1.10878,0.37143,0.39241,0.39385,0.29658,1.00118,1.95527,1.05203,0.0095545,0.0095545,0.0095545
11,35.9095,1.05655,2.19649,1.07495,0.61697,0.40299,0.4496,0.3336,1.07142,1.99473,1.08484,0.009505,0.009505,0.009505
12,39.0805,1.04943,2.1209,1.05487,0.63856,0.44537,0.47744,0.35093,1.05251,1.71839,1.0774,0.0094555,0.0094555,0.0094555
13,42.1866,1.08367,2.08856,1.10421,0.6073,0.32077,0.40729,0.29799,1.07727,1.90634,1.11893,0.009406,0.009406,0.009406
14,45.3291,1.03599,1.95846,1.06322,0.40335,0.44094,0.43185,0.32635,1.04811,1.87428,1.09643,0.0093565,0.0093565,0.0093565
15,48.4554,1.09473,2.06226,1.09348,0.66234,0.4239,0.47507,0.34297,1.03704,1.75676,1.0913,0.009307,0.009307,0.009307
16,51.6197,1.08723,2.01575,1.08039,0.79014,0.44138,0.50955,0.38839,0.9976,1.79161,1.05945,0.0092575,0.0092575,0.0092575
17,54.7947,0.96723,1.88741,1.05211,0.50535,0.45307,0.51252,0.39679,0.97252,1.5238,1.04392,0.009208,0.009208,0.009208
18,57.9355,0.90326,1.80318,1.03598,0.48918,0.47472,0.53936,0.41363,0.95492,1.62329,1.0296,0.0091585,0.0091585,0.0091585
19,61.0794,1.10251,1.93623,1.08511,0.48326,0.58021,0.55194,0.41446,1.01086,1.4775,1.07193,0.009109,0.009109,0.009109
20,64.2792,1.02503,1.86755,1.04448,0.63548,0.51898,0.5934,0.43575,1.0045,1.5114,1.04024,0.0090595,0.0090595,0.0090595
21,67.4168,0.97253,1.82381,1.07748,0.75903,0.49246,0.60874,0.45784,0.97772,1.57811,1.03504,0.00901,0.00901,0.00901
22,70.578,1.05438,1.88503,1.08164,0.67291,0.6074,0.64418,0.468,1.02216,1.63519,1.0672,0.0089605,0.0089605,0.0089605
23,73.7316,1.05453,1.80892,1.05103,0.58598,0.64016,0.60303,0.45629,0.99178,1.60105,1.05447,0.008911,0.008911,0.008911
